Strategy_Family,Pipeline_Component,Bullish_Map,Bearish_Map,NaN_Safety,Neutral_Blocks,Status
PRO_TREND_CONTINUATION,ProStrategyEngine,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
PRO_MEAN_REVERSION,ProStrategyEngine,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
PRO_MOMENTUM_BREAKOUT,ProStrategyEngine,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
PRO_VOLATILITY_EXPANSION,ProStrategyEngine,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
PRO_RANGE_FADE,ProStrategyEngine,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
MEAN_REVERSION,MeanReversionCandidateGenerator,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
ORB_BREAKOUT,TradeBuilder / Ensemble,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
VWAP_ORB,TradeBuilder / Ensemble,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
VOLATILITY_SCALED_TREND,TradeBuilder / Ensemble,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
INTRADAY_DIRECTIONAL,TradeBuilder / Ensemble,Pass,Pass,Pass,Pass,IMPLEMENTATION_VERIFIED_NEEDS_EDGE_RETEST
HTF_OPENING_DRIVE_CONT,HTFCandidateAdapter,Pass,Pass,Pass,Pass,IMPLEMENTATION_BUG_FIXED_NEEDS_EDGE_RETEST
HTF_15M_TREND_CONT,HTFCandidateAdapter,Pass,Pass,Pass,Pass,IMPLEMENTATION_BUG_FIXED_NEEDS_EDGE_RETEST
HTF_15M_VWAP_PULLBACK,HTFCandidateAdapter,Pass,Pass,Pass,Pass,IMPLEMENTATION_BUG_FIXED_NEEDS_EDGE_RETEST
HTF_FAILED_BREAKOUT_REVERSAL,HTFCandidateAdapter,Pass,Pass,Pass,Pass,IMPLEMENTATION_BUG_FIXED_NEEDS_EDGE_RETEST
HTF_PDH_PDL_HOLD,HTFCandidateAdapter,Pass,Pass,Pass,Pass,IMPLEMENTATION_BUG_FIXED_NEEDS_EDGE_RETEST
